book_id,anchor_id,narrator_id
bukhari,505,16
bukhari,506,409
bukhari,506,579
bukhari,507,143
bukhari,508,967
bukhari,509,3834
bukhari,509,20404
bukhari,509,20236
bukhari,509,11281
bukhari,509,12626
bukhari,510,16
bukhari,510,3104
bukhari,511,8087
bukhari,511,5
bukhari,511,28024
bukhari,511,29152
bukhari,513,16
bukhari,514,3
bukhari,515,9916
bukhari,515,10511
bukhari,516,16
bukhari,516,4702
bukhari,516,4667
bukhari,517,28
bukhari,517,16
bukhari,518,11560
bukhari,518,16
bukhari,518,29336
bukhari,519,28
bukhari,520,39024
bukhari,520,18675
bukhari,520,28
bukhari,520,16
bukhari,521,16
bukhari,522,16
bukhari,523,30367
bukhari,524,143
bukhari,524,4057
bukhari,526,218
bukhari,527,11663
bukhari,528,409
bukhari,528,30013
bukhari,528,143
bukhari,529,579
bukhari,530,28
bukhari,530,11560
bukhari,530,967
bukhari,530,29884
bukhari,530,967
bukhari,531,1472
bukhari,532,8273
bukhari,532,218
bukhari,533,11241
bukhari,533,19451
bukhari,533,16
bukhari,534,11241
bukhari,534,19451
bukhari,534,16
bukhari,536,10949
bukhari,536,11
bukhari,537,10949
bukhari,537,11
bukhari,538,3
bukhari,539,13687
bukhari,539,11657
bukhari,539,15
bukhari,540,19
bukhari,541,8273
bukhari,542,6124
bukhari,542,8011
bukhari,542,19
bukhari,543,28
bukhari,543,34
bukhari,544,409
bukhari,544,19
bukhari,547,143
bukhari,547,8620
bukhari,548,16
bukhari,548,11151
bukhari,548,19
bukhari,549,10566
bukhari,550,19
bukhari,551,16
bukhari,551,19
bukhari,552,16
bukhari,553,1472
bukhari,553,11314
bukhari,554,858
bukhari,555,16
bukhari,557,992
bukhari,557,11011
bukhari,559,143
bukhari,559,321
bukhari,560,143
bukhari,560,143
bukhari,560,39959
bukhari,561,218
bukhari,562,28
bukhari,562,34
bukhari,563,28875
bukhari,563,16
bukhari,563,16
bukhari,565,1472
bukhari,565,9
bukhari,565,39959
bukhari,566,295
bukhari,567,143
bukhari,567,28872
bukhari,568,143
bukhari,568,12321
bukhari,569,11241
bukhari,569,19451
bukhari,570,16
bukhari,571,16
bukhari,572,20334
bukhari,572,20379
bukhari,574,20294
bukhari,575,28
bukhari,576,19
bukhari,577,11418
bukhari,578,295
bukhari,578,190
bukhari,579,16
bukhari,579,15
bukhari,579,3958
bukhari,579,3104
bukhari,580,16
bukhari,581,8273
bukhari,582,295
bukhari,583,295
bukhari,584,401
bukhari,584,11159
bukhari,584,8273
bukhari,585,16
bukhari,586,992
bukhari,586,409
bukhari,586,11206
bukhari,587,143
bukhari,587,703
bukhari,588,143
bukhari,588,8273
bukhari,589,10756
bukhari,590,11560
bukhari,592,579
bukhari,592,8
bukhari,593,143
bukhari,594,32
bukhari,595,123
bukhari,595,143
bukhari,595,16
bukhari,596,32
bukhari,596,34
bukhari,600,16
bukhari,600,13377
bukhari,600,4837
bukhari,601,11011
bukhari,602,20288
bukhari,602,8
bukhari,603,123
bukhari,604,1810
bukhari,605,383
bukhari,605,10756
bukhari,605,111
bukhari,606,19
bukhari,607,10949
bukhari,607,8087
bukhari,608,16
bukhari,609,16
bukhari,609,8
bukhari,609,28836
bukhari,610,30367
bukhari,610,8087
bukhari,610,19
bukhari,611,16
bukhari,611,11206
bukhari,612,32
bukhari,612,38468
bukhari,612,3981
bukhari,613,158
bukhari,613,467
bukhari,614,5
bukhari,614,16426
bukhari,614,143
bukhari,614,34
bukhari,615,16
bukhari,616,16
bukhari,617,16
bukhari,617,11011
bukhari,618,16
bukhari,618,16
bukhari,620,16
bukhari,620,16
bukhari,620,16
bukhari,621,3573
bukhari,621,16
bukhari,622,133
bukhari,622,19574
bukhari,623,133
bukhari,623,19574
bukhari,624,16
bukhari,625,143
bukhari,625,4721
bukhari,625,19
bukhari,625,30361
bukhari,626,190
bukhari,627,16
bukhari,627,11303
bukhari,627,16
bukhari,627,16
bukhari,628,6662
bukhari,628,42
bukhari,629,1472
bukhari,629,15
bukhari,630,143
bukhari,630,42
bukhari,631,143
bukhari,632,18675
bukhari,633,21
bukhari,633,11383
bukhari,634,143
bukhari,634,11383
bukhari,635,16
bukhari,636,30013
bukhari,636,11
bukhari,637,1472
bukhari,637,16
bukhari,638,16
bukhari,639,992
bukhari,639,409
bukhari,639,8714
bukhari,640,143
bukhari,641,34
bukhari,642,28875
bukhari,642,992
bukhari,643,776
bukhari,643,19
bukhari,644,16
bukhari,645,16
bukhari,645,16
bukhari,646,16
bukhari,646,16
bukhari,647,579
bukhari,648,11
bukhari,649,16
bukhari,650,3
bukhari,651,143
bukhari,651,11325
bukhari,655,208
bukhari,655,30013
bukhari,655,295
bukhari,656,208
bukhari,656,30013
bukhari,656,295
bukhari,657,3
bukhari,658,218
bukhari,658,42
bukhari,659,16
bukhari,660,143
bukhari,660,11159
bukhari,660,8273
bukhari,661,8087
bukhari,662,10949
bukhari,662,218
bukhari,662,143
bukhari,662,15
bukhari,662,3958
bukhari,663,992
bukhari,663,409
bukhari,663,8273
bukhari,663,16
bukhari,663,19901
bukhari,663,9
bukhari,663,8273
bukhari,664,29655
bukhari,664,29152
bukhari,664,29483
bukhari,665,409
bukhari,665,144
bukhari,665,18675
bukhari,665,133
bukhari,666,16
bukhari,667,5278
bukhari,668,16
bukhari,668,10756
bukhari,668,16
bukhari,668,29298
bukhari,668,16
bukhari,669,1472
bukhari,670,19
bukhari,672,295
bukhari,672,19
bukhari,673,401
bukhari,674,579
bukhari,674,467
bukhari,675,992
bukhari,675,10897
bukhari,677,579
bukhari,678,158
bukhari,678,1227
bukhari,679,16
bukhari,679,144
bukhari,680,19
bukhari,682,295
bukhari,682,20
bukhari,683,144
bukhari,684,16
bukhari,684,399
bukhari,685,383
bukhari,685,10756
bukhari,685,42
bukhari,686,32
bukhari,686,1810
bukhari,686,251
bukhari,687,3573
bukhari,687,10618
bukhari,687,18675
bukhari,688,16
bukhari,688,144
bukhari,689,16
bukhari,689,19
bukhari,690,295
bukhari,690,16
bukhari,691,4113
bukhari,691,143
bukhari,692,409
bukhari,692,19
bukhari,693,143
bukhari,694,135
bukhari,694,20383
bukhari,694,8
bukhari,694,15
bukhari,694,3958
bukhari,695,28893
bukhari,695,8288
bukhari,695,18675
bukhari,696,143
bukhari,697,383
bukhari,697,11
bukhari,698,8948
bukhari,698,924
bukhari,699,8087
bukhari,699,16
bukhari,700,34
bukhari,701,143
bukhari,701,34
bukhari,702,3573
bukhari,703,16
bukhari,704,143
bukhari,704,11418
bukhari,704,632
bukhari,705,13687
bukhari,705,7029
bukhari,705,34
bukhari,705,28893
bukhari,707,409
bukhari,707,11314
bukhari,707,16
bukhari,708,22
bukhari,708,383
bukhari,708,1913
bukhari,708,19
bukhari,709,10949
bukhari,709,218
bukhari,710,143
bukhari,710,30013
bukhari,710,19
bukhari,711,383
bukhari,711,10756
bukhari,711,28
bukhari,712,16
bukhari,713,30367
bukhari,714,16
bukhari,714,42
bukhari,714,21578
bukhari,714,143
bukhari,715,9
bukhari,716,42
bukhari,716,144
bukhari,717,28
bukhari,717,10913
bukhari,717,148
bukhari,719,38026
bukhari,719,27
bukhari,719,4395
bukhari,722,16
bukhari,724,32
bukhari,724,135
bukhari,724,39417
bukhari,724,11810
bukhari,724,19
bukhari,724,189
bukhari,724,11810
bukhari,725,28
bukhari,726,30367
bukhari,726,28
bukhari,727,16
bukhari,727,19
bukhari,728,226
bukhari,729,9907
bukhari,730,409
bukhari,730,30013
bukhari,730,30013
bukhari,731,14230
bukhari,731,579
bukhari,731,3104
bukhari,731,15
bukhari,732,19
bukhari,733,30367
bukhari,733,19
bukhari,735,16
bukhari,735,11011
bukhari,736,143
bukhari,736,11011
bukhari,736,16
bukhari,737,6124
bukhari,738,11011
bukhari,739,27004
bukhari,739,19069
bukhari,740,16
bukhari,740,339
bukhari,740,3682
bukhari,742,143
bukhari,742,19
bukhari,743,8273
bukhari,744,579
bukhari,744,11560
bukhari,744,331
bukhari,745,30013
bukhari,745,947
bukhari,745,30013
bukhari,745,70
bukhari,746,331
bukhari,747,16
bukhari,748,15
bukhari,748,3958
bukhari,748,16
bukhari,749,143
bukhari,749,3265
bukhari,749,19
bukhari,750,10949
bukhari,750,295
bukhari,750,30013
bukhari,751,7290
bukhari,753,30367
bukhari,754,295
bukhari,754,3663
bukhari,755,1227
bukhari,755,34
bukhari,755,28666
bukhari,755,1227
bukhari,756,10949
